2009-07-15 14:49:05,胖胖的大头鱼,等待，等待高潮，然后谢幕了,2,较差,653,0.7773206322390803
2009-07-15 23:50:36,海鹰,严重无语加虐心的一部，谈恋爱占去半集。结尾邓布利多死了。斯内普自爆是混血王子以后嫣然一笑飘走。。什么玩意嘛！,3,还行,1624,0.9963034725717697
2009-07-16 21:02:00,羽族优伶,视觉效果太惊人啦！,5,力荐,0,0.6804820040846987
2009-07-17 16:46:13,大悦,说实话有点失望，不过看在特技和卢娜的份儿上。。。,4,推荐,612,0.0594330862220269
2009-07-18 18:37:29,Faith,此片无高潮,3,还行,773,0.7971165386887288
2009-07-19 11:30:20,张恩勾,鄧教授說：年青真好，還可以感受愛情的刺痛。,3,还行,2411,0.8919173542743143
2009-08-11 23:32:16,国王KING,剪辑有点凌乱，还有就是光线有点暗。除此之外真的挑不出什么毛病了。惊觉标记日期是09年8-11，不知不觉，过了这么多年了啊。（2016-4-9）,5,力荐,171,0.8453031743555874
2011-05-15 23:43:48,叫我マグロ,2009.07.27 18:15,5,力荐,21,0.4737672181921908
2011-07-31 22:01:27,薇羅尼卡,这可能是前六部中唯一一部在电影院看的，而当时的我还不幸睡着了。但是回过头来看，在邓布利多死的那一刻，整个剧情还是达到了前所未有的高潮。死亡、挣扎、背叛、人性，有些时候你会失去内心笃信的一切东西，生活会变得灰暗无比。所谓黎明前的黑暗，也许就是这样的时刻。,4,推荐,173,0.9999999919230106
2011-09-20 20:55:43,Chrno,邓布利多居然死了,5,力荐,4,0.0868331449636156
2013-02-15 00:30:08,UglY_MoNey,最燃我的点居然是最后snape踩在harry porter身上说i am the half blood prince.。。当下我觉得snape帅呆了。。。,3,还行,235,0.958182702791172
2017-03-15 16:34:39,番茄炒蛋不加蛋,哈利长大以后的故事感觉没那么好看了,4,推荐,728,0.99397196083095
2017-04-16 00:38:31,何丽丽,在田老师家看的，哈利波特能不能拍个系列电视剧？就演霍格沃茨的日常生活那种，我能看十季。,3,还行,1476,0.999999621666088
2018-11-21 12:50:33,Neroat,忘了打分！Hp系列比较喜欢的一部，虽然属于灰暗的剧情，但是穿着西装一脸冷酷又心有不甘的德拉科真的帅到抖腿。斯内普其实也挺可怜的哇。,4,推荐,392,0.9996855800954112
2019-08-21 23:36:53,西楼尘,迷情剂不能产生爱情，福灵剂无法制造幸运。雀鸟可以试验连通消失双子柜间的通道，初吻可以变成藏在有求必应屋里的秘密。无论你是傲罗还是麻瓜，都不能用魔法换来真情。哀悼阿拉贡，肉体或将腐朽但灵魂永存。葬别邓布利多，魔杖上的星芒承袭不朽的精神。噗一下不见或许是人生，但至少可以填满心里的碗。,3,还行,595,0.9999999999999564
2020-10-06 03:51:39,大山川,太伤了，我被这一部前所未有的伤到了。仿佛已经不再关乎故事核心，机关重重设置好让邓布利多的死变成了全片唯一的独角戏，也只有邓布利多的死能让整个系列开始真正的进入黑暗。前几部中所谓重生所谓取命都无关紧要，只有让光明熄灭才能感受到最真实的恐惧。,5,力荐,151,0.999999949168626
2021-05-20 00:00:26,冷岫烟,"邓布利多要求斯内普答应杀死自己的时候，斯内普粗暴地问“为什么不让德拉科动手”。邓说，男孩的灵魂还没有被完全糟蹋，不想把他的灵魂弄得四分五裂。
斯内普反问，那么我的灵魂呢，邓布利多？我的呢？

我可以想象他脸上的神色。那时候我真是出奇的悲伤。",5,力荐,1436,0.9999994783791032
2021-09-29 04:52:58,白金溶剂,大家都在感受爱情的刺痛 只有马尔福在专心搞事业,4,推荐,348,0.9874314184846418
2022-10-25 02:57:11,杨迪,"当年居然没标记，今天补上。
国庆的时候听闻一个朋友从来没看过《哈利波特》系列大为震惊，我说你就算不看书，电影也一定得看！然后他花了几天看完了全系列，好评不断，发来消息“我这几天的快乐都是哈利波特给的！”羡慕每一位还没看哈利波特的朋友，你们人生还有好棒的一个惊喜等你开启！",5,力荐,90,0.9999999999478364
2022-12-22 23:51:56,Swithen,系列里评分最低的却是我最喜欢的，或者说我喜欢的是这一部营造的气氛，就像电影里有一幕夜晚的走廊一对情侣抱在一起接吻几个学生在旁边夜聊畅谈，麦格教授“不准在夜间游荡”的话语成了这一阴暗潮湿青春故事的注脚，这一部从开头就没有了滑稽姨妈家的闹剧，主角们都已经长大，不止是故事的进程到了灰暗压抑的篇章，角色也成长到了肩上开始蒙上灰尘的年纪，天真童趣的岁月一去不返，人们点燃手中的萤火，孩子们也将独自面对黎明前的黑暗,5,力荐,19,0.9999999999999812
